TF,Target,score
15004,14890,0.8111498951911926
15004,3007,0.8100594878196716
15004,12691,0.8066862225532532
15004,10958,0.8054368495941162
15004,13582,0.8049147129058838
15004,10867,0.8042104840278625
15004,15160,0.8031238913536072
15004,8908,0.8019859790802002
15004,1030,0.7992961406707764
15004,7527,0.7985145449638367
15004,16651,0.7962180972099304
15004,12478,0.7959039807319641
15004,4534,0.7957143187522888
15004,7244,0.795507550239563
15004,2874,0.7947263717651367
15004,762,0.7946535348892212
15004,17190,0.7939896583557129
15004,11724,0.7932450771331787
15004,7108,0.7910661101341248
15004,17192,0.7910427451133728
15004,12325,0.7902040481567383
15004,6311,0.7901067733764648
15004,8869,0.789973795413971
15004,11458,0.788540244102478
15004,9597,0.7883503437042236
15004,11257,0.7880547642707825
15004,6944,0.7879387140274048
15004,11777,0.78732830286026
15004,16910,0.7872182130813599
15004,17252,0.7857649326324463
15004,10909,0.7855211496353149
15004,420,0.7855010628700256
15004,12669,0.7854154706001282
15004,14206,0.7853256464004517
15004,99,0.7853178977966309
15004,10827,0.7846140265464783
15004,10119,0.7844951152801514
15004,14350,0.7836912274360657
15004,6670,0.783549427986145
15004,10957,0.7832117080688477
15004,12499,0.7821251749992371
9896,14890,0.7820773124694824
15004,11850,0.782052218914032
15004,10897,0.7818467617034912
15004,8205,0.7818121314048767
15004,8910,0.7815503478050232
15004,17772,0.7815421223640442
15004,546,0.7813306450843811
15004,14284,0.7810294032096863
15004,7315,0.7810168862342834
15004,13195,0.7809761762619019
15004,14420,0.7806419730186462
9896,3007,0.7804580330848694
15004,12190,0.7801933288574219
15004,14429,0.7801434397697449
15004,16491,0.7801116108894348
15004,13586,0.779985785484314
15004,7328,0.7798100113868713
15004,7637,0.7796692252159119
15004,12594,0.7795966863632202
15004,1548,0.7795731425285339
15004,6796,0.7795677185058594
15004,11217,0.7793420553207397
15004,6722,0.7793383002281189
15004,531,0.7793225646018982
15004,3275,0.7792245149612427
15004,9748,0.779202938079834
15004,13191,0.7791648507118225
15004,13328,0.7791581153869629
15004,13556,0.779127299785614
15004,13163,0.7791145443916321
15004,11003,0.7789947390556335
15004,13661,0.7788671851158142
15004,7797,0.7786516547203064
15004,745,0.7786363959312439
15004,12957,0.7786334156990051
9896,12691,0.7782900929450989
15004,5138,0.7782895565032959
15004,14333,0.7782889008522034
15004,8454,0.7782870531082153
15004,153,0.7781879305839539
15004,3644,0.7780860066413879
15004,13886,0.7779573202133179
14623,14890,0.7779229283332825
15004,14755,0.7778557538986206
15004,3087,0.7778111100196838
15004,11726,0.7778002023696899
15004,4976,0.7777612209320068
15004,6626,0.7777319550514221
15004,4634,0.7775806188583374
15004,4572,0.7775321006774902
15004,7342,0.7775189280509949
15004,11520,0.777500331401825
15004,3630,0.77745521068573
15004,4904,0.7773637175559998
15004,5150,0.777237594127655
15004,11013,0.7771298885345459
15004,15133,0.7770716547966003
9896,10958,0.7769691348075867
15137,14890,0.7769177556037903
15004,11737,0.7768490314483643
15004,16655,0.7767568826675415
15004,337,0.7766569256782532
9896,13582,0.7765729427337646
15004,10086,0.7764418125152588
14623,3007,0.7761738896369934
15004,9768,0.7760716080665588
15004,6855,0.7760276198387146
15004,3643,0.7757577300071716
15004,8157,0.7756888270378113
15004,11557,0.7755967974662781
15004,6775,0.7755721211433411
15004,11023,0.7755707502365112
15004,9107,0.7755608558654785
15004,5289,0.7755597233772278
15137,3007,0.775460958480835
15004,1283,0.7754006385803223
15004,2400,0.7753804922103882
15004,9315,0.7753702998161316
15004,3660,0.7753583788871765
15004,17142,0.7753458619117737
15004,14473,0.7752889394760132
15004,11887,0.7752252221107483
15004,11631,0.7752216458320618
9896,10867,0.7750339508056641
15004,14204,0.7750117182731628
15004,9904,0.7749673128128052
15004,1460,0.7747434973716736
15004,13035,0.7746670246124268
15004,6910,0.7746065855026245
15004,14604,0.7745341658592224
15004,529,0.7744613885879517
15004,10109,0.7744076251983643
15004,10062,0.7743629217147827
14623,12691,0.7743580937385559
15004,11348,0.7743456363677979
15004,14656,0.7742769718170166
15004,17452,0.7742022275924683
15004,11602,0.7741364240646362
15004,3276,0.7740769386291504
15004,15427,0.7740643620491028
15004,1388,0.7740468382835388
15004,2586,0.7739766240119934
15004,12979,0.7739357352256775
15004,6301,0.7738624215126038
15004,4005,0.7737730741500854
15004,8514,0.7737616300582886
15004,10314,0.7737050652503967
9896,15160,0.773687481880188
15004,10526,0.7736644744873047
15004,3863,0.7736595869064331
15004,13362,0.7736297249794006
15004,12565,0.7736263275146484
15004,7440,0.773610532283783
15004,10889,0.7735899686813354
9896,8908,0.7734681367874146
15004,8127,0.7733477354049683
15004,16487,0.7733401656150818
15004,17534,0.7730607986450195
15004,14080,0.772993266582489
15004,7256,0.7729647755622864
14623,10958,0.7728412747383118
15004,6401,0.7727317214012146
14623,13582,0.772678554058075
15004,10900,0.7726697325706482
15004,1336,0.7726443409919739
15137,12691,0.7726173400878906
15004,11504,0.7725241780281067
15004,14668,0.7724485993385315
15004,14109,0.7724220156669617
15004,2648,0.7723351120948792
15004,9756,0.7722275853157043
15004,2656,0.7721825242042542
15004,3909,0.7721526622772217
15004,12261,0.7721141576766968
15004,2693,0.7721024751663208
15004,9825,0.7720375657081604
15004,12518,0.7720311284065247
15004,12623,0.7719501852989197
15004,14032,0.7719295620918274
15004,13904,0.7718770503997803
15004,11816,0.7718542814254761
15004,2923,0.771830677986145
15004,10451,0.7718008756637573
14435,14890,0.7717533111572266
15004,8636,0.7716533541679382
15004,8477,0.7716468572616577
15004,15310,0.7716425657272339
15004,9753,0.771624743938446
15004,16710,0.7715876698493958
15004,3637,0.771535336971283
15004,17198,0.7715206742286682
15004,6001,0.7714999318122864
15004,955,0.7714951634407043
15004,11541,0.7714264988899231
15004,15854,0.7714076638221741
7941,14890,0.771384060382843
15004,2862,0.7713153958320618
15004,5605,0.7712441086769104
15004,13402,0.7712432742118835
15004,11014,0.7712287902832031
15004,12425,0.7712160348892212
15004,1375,0.7710968255996704
15137,10958,0.7710595726966858
15004,7946,0.771001398563385
15004,1371,0.7709751725196838
15004,410,0.7709603309631348
15004,6162,0.7709599733352661
15004,3574,0.7709587812423706
15137,13582,0.7709560394287109
15004,3018,0.7708824872970581
14623,10867,0.770860493183136
15004,5142,0.7708266973495483
15004,13461,0.7708138823509216
15004,10361,0.7707974314689636
9896,7527,0.7707904577255249
15004,9869,0.7707379460334778
15004,900,0.7706992626190186
15004,17472,0.7706937193870544
15004,10202,0.7706813812255859
15004,15182,0.7706679105758667
15004,9077,0.7705650329589844
15004,16001,0.7705514430999756
15004,9110,0.7705405354499817
15004,13268,0.7704960703849792
15004,14667,0.7704914808273315
15004,6527,0.7704360485076904
15004,4501,0.7704166769981384
15004,13608,0.7703993320465088
15004,16714,0.7703787088394165
4633,14890,0.7702800631523132
17009,14890,0.7702353000640869
15004,5740,0.7701650857925415
9896,1030,0.7701483964920044
14435,3007,0.7701449394226074
7941,3007,0.7700158357620239
15004,228,0.7699773907661438
15004,1410,0.769911527633667
15004,10120,0.7698785066604614
15004,4254,0.7698498368263245
15004,17706,0.7697600722312927
15004,11185,0.7697048783302307
15004,13634,0.7696942090988159
14623,15160,0.7696807980537415
